id,peso_seco ,peso_saturado,tratamiento ,poblacion,area,perimetro,circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,ar,round,solidity,minthr,maxthr
AZ18,0.7544,2.0406,Sequia,Huatusco,84.916,51.249,0.406,18.956,878,2799,58.668,7.339,2.506,0.399,0.932,0,123
BZ06,1.6091,3.2579,Sequia,Huatusco,151.8,113.206,0.149,23.748,555,2788,53.251,11.129,2.203,0.454,0.908,0,255
BZ07,1.838,3.6856,control ,Huatusco,180.57,157.99,0.091,26.533,634,2835,61.479,12.097,2.187,0.457,0.904,0,255
CZ03,1.6237,3.3917,control ,Huatusco,146.281,116.739,0.135,26.65,723,2927,62.735,10.423,2.4,0.417,0.876,0,255
CZ16,0.6025,1.4952,Sequia,Huatusco,85.968,81.337,0.163,20.51,895,2808,56.718,6.748,3.002,0.333,0.947,0,255
DZ20,1.2429,2.4736,control ,Huatusco,125.84,120.298,0.109,22.386,935,2833,72.263,8.972,2.55,0.392,0.94,0,255
DZ27,1.3984,3.0196,control ,Huatusco,137.989,98.012,0.181,22.467,500,2651,57.843,9.858,2.332,0.429,0.938,0,255
EZ14,1.4074,2.9382,Sequia,Huatusco,123.434,106.549,0.137,23.323,627,2904,62.938,9.185,2.403,0.416,0.915,0,255
FZ01,1.4201,2.811,Sequia,Zongolica,132.497,147.005,0.077,26.393,328,2929,50.08,7.857,3.25,0.308,0.921,0,255
FZ05,1.5828,3.2005,control ,Zongolica,171.24,126.368,0.135,30.908,212,3100,52.237,10.231,2.926,0.342,0.904,0,255
FZ20,1.4692,2.9436,control ,Zongolica,140.093,119.584,0.123,27.711,584,2938,56.516,8.804,3.29,0.304,0.91,0,255
HZ04,1.175,2.4494,control ,Zongolica,132.919,186.623,0.048,27.918,215,2881,51.388,7.952,3.594,0.278,0.913,0,127
HZ19,1.0993,2.2046,Sequia,Zongolica,106.476,132.812,0.076,24.794,855,2976,70.152,7.209,3.506,0.285,0.898,0,255
JZ08,1.5462,2.9915,control ,Zongolica,135.073,116.679,0.125,27.39,450,2953,56.994,9.102,2.928,0.342,0.884,0,255
JZ09,1.1752,2.2498,control ,Zongolica,132.9,111.372,0.135,25.835,613,3209,71.219,8.397,3.022,0.331,0.91,0,255
JZ18,1.9153,3.739,Sequia,Zongolica,153.222,126.991,0.119,27.868,423,2983,58.381,9.603,2.872,0.348,0.897,0,255
KZ16,1.031,2.3218,Sequia,Zongolica,125.573,146.23,0.074,26.384,519,3153,60.825,7.424,3.558,0.281,0.927,0,255
LZ10,0.9059,1.8521,Sequia,Zongolica,109.728,102.666,0.131,24.423,713,2861,60.37,7.171,3.375,0.296,0.921,0,255
MZ04,0.9181,2.3679,control ,Tecoxco,107.003,139.383,0.069,25.679,534,3145,59.901,6.408,3.789,0.264,0.914,0,255
MZ15,0.4441,1.2523,Sequia,Tecoxco,69.84,75.282,0.155,17.29,641,2839,53.502,6.286,2.597,0.385,0.939,0,255
OZ03,0.8173,1.8653,Sequia,Tecoxco,99.447,127.042,0.077,23.357,457,2835,56.367,7.413,2.929,0.341,0.909,0,255
OZ04,1.2658,2.716,control ,Tecoxco,140.555,148.261,0.08,25.934,280,2770,50.197,8.173,3.087,0.324,0.938,0,255
OZ20,1.2755,2.8588,control ,Tecoxco,148.972,166.435,0.068,27.707,275,2946,48.269,9.063,3.042,0.329,0.907,0,255
PZ03,1.0681,2.3276,control ,Tecoxco,125.585,136.069,0.085,25.161,585,2866,55.131,7.855,3.075,0.325,0.935,0,255
PZ08,0.6985,1.5933,Sequia,Tecoxco,96.508,126.747,0.075,22.328,540,2701,53.903,6.861,3.082,0.324,0.931,0,255
Q06,1.3519,3.1312,Sequia,Cuzalapa,137.581,120.089,0.12,27.816,422,3280,64.769,7.815,3.559,0.281,0.915,0,255
Q29,0.8192,2.1699,control ,Cuzalapa,99.265,87.375,0.163,21.359,534,2910,53.619,7.398,2.753,0.363,0.931,0,255
Q35 ,1.3097,2.8531,control ,Cuzalapa,131.279,146.174,0.077,25.338,865,2788,62.098,9.074,2.752,0.363,0.9,0,255
Q36,1.0281,2.8062,control ,Cuzalapa,122.759,136.057,0.083,24.039,728,2705,55.165,7.824,3.034,0.33,0.942,0,255
Q38,0.4021,0.9569,Sequia,Cuzalapa,52.261,96.618,0.07,16.863,783,2584,45,5.486,3.04,0.329,0.908,0,255
R03,0.9229,1.9722,control ,Villa Cacoma,97.2,100.215,0.122,22.644,735,2622,55.57,7.764,2.885,0.347,0.883,0,255
R21,0.893,2.3697,Sequia,Villa Cacoma,142.305,150.273,0.079,28.299,518,2994,60.486,8.86,2.931,0.341,0.901,0,255
R25,0.8109,1.7231,Sequia,Villa Cacoma,87.046,102.127,0.105,22.8,1141,2942,68.265,6.314,3.495,0.286,0.903,0,255
R27,1.2409,2.6537,Sequia,Villa Cacoma,130.63,144.146,0.079,26.549,464,3316,62.296,8.142,3.177,0.315,0.919,0,255
RZ03,0.8519,1.9597,Sequia,Tecoxco,104.886,101.578,0.128,24.459,816,2680,63.33,7.123,3.316,0.302,0.923,0,255
RZ04,1.2701,2.6771,control ,Tecoxco,132.728,146.657,0.078,25.458,771,2954,61.278,9.645,2.518,0.397,0.897,0,255
RZ19,0.5639,1.1679,Sequia,Tecoxco,66.334,112.407,0.066,20.323,647,2810,53.607,5.733,3.294,0.304,0.908,0,255
S20,0.7177,1.6216,control ,Cuzalapa,79.211,114.813,0.076,20.246,735,2793,54.267,6.246,3.248,0.308,0.914,0,255
S24,0.8114,1.6322,Sequia,Cuzalapa,91.394,118.715,0.081,22.61,800,2752,69.029,6.897,3.241,0.309,0.91,0,255
S27,1.6085,3.6115,control ,Cuzalapa,159.841,194.591,0.053,33.131,109,3335,54.592,8.551,3.996,0.25,0.891,0,255
S38,0.8095,1.9417,Sequia,Cuzalapa,108.759,131.38,0.079,23.49,694,2930,60.202,7.925,2.888,0.346,0.914,0,255
S46,0.5873,1.4856,Sequia,Cuzalapa,81.117,112.519,0.081,21.388,888,2810,72.302,6.701,3.155,0.317,0.912,0,255
T16,1.5947,3.2509,control ,Villa Cacoma,107.238,147.649,0.062,24.685,450,2774,53.95,7.193,3.383,0.296,0.901,0,255
T29_021,1.6349,3.5049,control ,Villa Cacoma,167.637,176.366,0.068,28.837,289,2994,55.176,9.816,2.821,0.354,0.912,0,255
T30,1.4442,3.1341,Sequia,Villa Cacoma,144.927,169.968,0.063,28.438,400,2857,53.363,8.664,3.255,0.307,0.907,0,255
U10,0.6608,1.4235,Sequia,Villa Cacoma,66.56,74.213,0.152,18.178,817,2803,61.217,6.278,2.764,0.362,0.916,0,255
U33,1.2099,2.8469,control ,Villa Cacoma,126.912,135.755,0.087,24.044,784,2936,60.384,8.171,3.131,0.319,0.937,0,255
U53,1.2903,3.2939,control ,Villa Cacoma,154.481,157.903,0.078,27.79,467,2995,57.056,8.346,3.355,0.298,0.934,0,255
UZ16,1.539,2.9829,Control ,Yetzelalag,129.08,116.393,0.12,26.029,502,3157,57.725,9.161,2.721,0.368,0.877,0,255
UZ20,0.4245,0.8883,Sequia,Yetzelalag,46.617,83.283,0.084,14.391,1049,2482,70.891,5.21,2.743,0.365,0.924,0,255
UZ26,0.6526,1.4661,Sequia,Yetzelalag,85.483,108.036,0.092,19.358,433,2870,48.364,7.308,2.663,0.376,0.93,0,255
V05,0.8618,1.9244,control ,Talpa de Allende,69.363,108.915,0.073,18.861,663,2669,53.333,6.027,3.171,0.315,0.922,0,255
V14,0.5702,1.4294,Sequia,Talpa de Allende,70.32,81.512,0.133,18.95,673,2680,53.783,6.03,3.163,0.316,0.927,0,255
V20,1.0637,2.6486,control ,Talpa de Allende,108.29,128.829,0.082,23.196,297,2858,47.324,7.292,3.108,0.322,0.912,0,255
V24,1.3492,3.179,Sequia,Talpa de Allende,130.796,144.995,0.078,24.55,518,2890,60.962,9.096,2.548,0.392,0.915,0,255
VZ01,1.6167,3.0479,control ,Yetzelalag,140.918,163.47,0.066,26.83,445,2727,54.277,9.013,2.912,0.343,0.904,0,255
VZ06,1.2103,2.2422,control ,Yetzelalag,111.668,109.761,0.116,23.869,625,2701,57.586,8.547,2.777,0.36,0.895,0,255
VZ09,0.5207,1.1904,Sequia,Yetzelalag,66.635,97.579,0.088,19.303,889,2913,69.31,5.672,3.098,0.323,0.93,0,255
VZ17,0.5839,1.3292,control ,Yetzelalag,83.378,84.692,0.146,21.242,784,2918,55.577,6.032,3.397,0.294,0.935,0,255
VZ26,0.493,1.0081,Sequia,Yetzelalag,59.744,99.019,0.077,16.819,746,2854,55.377,6.032,2.664,0.375,0.888,0,255
VZ28,1.247,2.5393,control ,Yetzelalag,136.99,119.168,0.121,26.992,413,2746,55.522,9.045,2.752,0.363,0.911,0,255
VZ29,0.643,1.6995,Sequia,Yetzelalag,108.078,91.239,0.163,21.979,660,2848,60.409,7.655,2.698,0.371,0.945,0,255
W08,1.977,4.7856,control ,Talpa de Allende,223.067,182.076,0.085,23.308,154,1168,138.216,17.199,1.628,0.614,0.799,0,255
W70,1.0257,2.4629,control ,Talpa de Allende,132.44,140.852,0.084,25.206,572,2694,53.138,9.117,2.646,0.378,0.912,0,255
W72,1.4884,3.6764,Sequia,Talpa de Allende,171.666,124.499,0.139,29.858,191,3195,56.256,9.829,2.893,0.346,0.901,0,255
X06,1.134,2.4137,Sequia,Talpa de Allende,127.487,146.967,0.074,26.317,385,2761,54.93,8.344,3.244,0.308,0.905,0,255
X38,1.2369,3.2615,control ,Talpa de Allende,144.419,190.595,0.05,27.394,215,2817,54.737,7.769,3.501,0.286,0.947,0,255
X42,0.8484,2.1203,Sequia,Talpa de Allende,95.312,125.591,0.076,23.574,849,2930,70.832,6.844,3.442,0.291,0.919,0,255
Z06,0.6735,1.6004,control ,Huatusco,103.344,133.049,0.073,24.268,903,2976,69.703,7.605,2.889,0.346,0.88,0,255
Z14,1.105,2.5568,Sequia,Huatusco,107.922,131.437,0.079,23.472,785,2851,59.302,7.988,2.866,0.349,0.913,0,255
